control_id,framework,title,description
SOC2-CC6.1,SOC 2,Logical Access Controls,"The entity implements logical access security measures to protect assets from unauthorized access. This includes password policies, multi-factor authentication, and role-based access controls."
SOC2-CC6.2,SOC 2,Access Credentials Management,"The entity creates and maintains access credentials for authorized users. Credentials are assigned based on job responsibilities and reviewed regularly for appropriateness."
SOC2-CC6.3,SOC 2,Access Removal,"The entity removes access credentials when access is no longer required. This includes immediate removal upon termination and periodic review of active credentials."
SOC2-CC6.4,SOC 2,Logical Access Security,"The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events."
SOC2-CC6.5,SOC 2,Data Classification,"The entity disposes of information, software, and hardware to meet the entity's objectives related to security, availability, processing integrity, confidentiality, and privacy."
SOC2-CC6.6,SOC 2,Encryption and Key Management,"The entity encrypts data at rest and in transit using industry-standard encryption algorithms. Encryption keys are managed securely with proper rotation policies."
SOC2-CC6.7,SOC 2,Network Security,"The entity implements network security controls to protect against unauthorized access, including firewalls, intrusion detection systems, and network segmentation."
GDPR-Art5,GDPR,Principles of Data Processing,"Personal data shall be processed lawfully, fairly and in a transparent manner in relation to the data subject. Data shall be collected for specified, explicit and legitimate purposes."
GDPR-Art6,GDPR,Lawfulness of Processing,"Processing shall be lawful only if and to the extent that at least one of the following applies: consent, contract, legal obligation, vital interests, public task, or legitimate interests."
GDPR-Art7,GDPR,Conditions for Consent,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data."
GDPR-Art8,GDPR,Consent for Children,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data."
GDPR-Art9,GDPR,Processing of Special Categories,"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership is prohibited."
GDPR-Art13,GDPR,Information to be Provided,"The controller shall provide the data subject with information including identity of controller, purposes of processing, legal basis, and data subject rights."
GDPR-Art15,GDPR,Right of Access,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed."
GDPR-Art17,GDPR,Right to Erasure,"The data subject shall have the right to obtain from the controller the erasure of personal data without undue delay where certain conditions are met."
GDPR-Art25,GDPR,Data Protection by Design,"The controller shall implement appropriate technical and organizational measures to ensure data protection principles are embedded into processing activities."
GDPR-Art32,GDPR,Security of Processing,"The controller shall implement appropriate technical and organizational measures to ensure a level of security appropriate to the risk, including encryption and pseudonymization."
GDPR-Art33,GDPR,Notification of Breach,"In the case of a personal data breach, the controller shall without undue delay and, where feasible, not later than 72 hours after having become aware of it, notify the supervisory authority."
GDPR-Art35,GDPR,Data Protection Impact Assessment,"Where processing is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall carry out a data protection impact assessment."
HIPAA-164.308,HIPAA,Administrative Safeguards,"Implement policies and procedures to prevent, detect, contain, and correct security violations. This includes security officer designation, workforce training, and access management."
HIPAA-164.312,HIPAA,Technical Safeguards,"Implement technical policies and procedures for electronic information systems to allow access only to authorized persons and software programs."
HIPAA-164.314,HIPAA,Organizational Requirements,"Ensure that business associate contracts include provisions to ensure that the business associate will appropriately safeguard protected health information."
PCI-DSS-3.2,PCI DSS,Protect Stored Cardholder Data,"Do not store sensitive authentication data after authorization. Render primary account numbers unreadable anywhere they are stored using strong cryptography."
PCI-DSS-3.4,PCI DSS,Render PAN Unreadable,"Render primary account numbers unreadable anywhere they are stored, including portable digital media, backup media, and in logs."
PCI-DSS-4.1,PCI DSS,Encrypt Transmission of Cardholder Data,"Use strong cryptography and security protocols to safeguard sensitive cardholder data during transmission over open, public networks."
PCI-DSS-7.1,PCI DSS,Restrict Access to Cardholder Data,"Limit access to cardholder data by business need-to-know. Assign access based on job classification and function."
PCI-DSS-8.1,PCI DSS,Identify and Authenticate Access,"Assign a unique ID to each person with computer access. Implement proper user identification and authentication mechanisms."
PCI-DSS-10.1,PCI DSS,Track and Monitor Access,"Implement audit trails to link all access to system components to each individual user. Log all access to cardholder data."
ISO27001-A.9.1,ISO 27001,Access Control Policy,"Establish and maintain access control policies and procedures to ensure that users have appropriate access to information systems and data."
ISO27001-A.9.2,ISO 27001,User Access Management,"Implement user registration and de-registration procedures. Manage user access rights and review access regularly."
ISO27001-A.9.4,ISO 27001,Password Management,"Implement secure password management systems and procedures to ensure passwords are strong, stored securely, and changed regularly."
ISO27001-A.10.1,ISO 27001,Cryptographic Controls,"Implement cryptographic controls to protect the confidentiality, authenticity and/or integrity of information in accordance with risk assessment."
ISO27001-A.12.1,ISO 27001,Operational Procedures,"Document operating procedures and ensure they are made available to all users who need them. Changes to systems shall be controlled."
ISO27001-A.12.2,ISO 27001,Malware Protection,"Implement malware protection mechanisms to detect, prevent, and recover from malicious code attacks."
ISO27001-A.13.1,ISO 27001,Network Security Management,"Manage network security to protect information in networks and protect the supporting network infrastructure from unauthorized access."
ISO27001-A.14.1,ISO 27001,Secure Development,"Establish secure development procedures to ensure that security is built into information systems throughout the software development lifecycle."
INTERNAL-001,Internal,Code Review Requirements,"All code changes must be reviewed by at least one other developer before merging to main branch. Reviews must check for security vulnerabilities."
INTERNAL-002,Internal,Dependency Scanning,"All dependencies must be scanned for known vulnerabilities before deployment. Outdated or vulnerable dependencies must be updated or replaced."
INTERNAL-003,Internal,Secret Management,"No hardcoded secrets, API keys, or credentials in source code. All secrets must be stored in secure vaults and accessed via environment variables."
INTERNAL-004,Internal,Infrastructure as Code,"All infrastructure must be defined as code and version controlled. Manual infrastructure changes are prohibited."
INTERNAL-005,Internal,Automated Testing,"All code must have automated tests with minimum 80% code coverage. Security tests must be included in the test suite."
INTERNAL-006,Internal,Incident Response,"Security incidents must be reported within 1 hour of discovery. Incident response procedures must be documented and tested quarterly."
INTERNAL-007,Internal,Backup and Recovery,"All critical data must be backed up daily. Backup restoration procedures must be tested at least quarterly."
INTERNAL-008,Internal,Monitoring and Alerting,"All production systems must have comprehensive monitoring and alerting. Critical alerts must be responded to within 15 minutes."

